CustomerID,Gender,Age,Location,Annual_Income,Spending_Score,Purchase_Frequency,Avg_Order_Value,Recency,Loyalty_Status
C0001,Male,38,Mumbai,80774,20,10,109,34,Platinum
C0002,Female,49,Hyderabad,43752,46,1,333,66,Bronze
C0003,Male,40,Chennai,75029,15,7,73,40,Platinum
C0004,Male,50,Mumbai,37685,25,2,31,28,Gold
C0005,Male,20,Chennai,71693,94,5,228,47,Gold
C0006,Female,35,Delhi,75961,78,1,481,39,Bronze
C0007,Male,42,Bengaluru,96908,71,3,33,70,Bronze
C0008,Male,59,Mumbai,94532,17,12,140,73,Gold
C0009,Male,48,Hyderabad,101994,84,2,437,20,Gold
C0010,Female,20,Delhi,76133,100,1,456,1,Gold
C0011,Male,57,Pune,117425,9,7,396,72,Bronze
C0012,Male,41,Chennai,81268,38,5,39,87,Gold
C0013,Male,49,Pune,112201,48,1,94,63,Gold
C0014,Male,39,Kolkata,58243,60,6,419,67,Gold
C0015,Female,40,Delhi,77384,63,5,262,4,Gold
C0016,Male,19,Pune,51653,86,3,242,58,Gold
C0017,Female,44,Mumbai,46657,2,12,89,25,Gold
C0018,Female,59,Chennai,59952,88,7,331,47,Bronze
C0019,Female,19,Bengaluru,42180,72,11,230,38,Silver
C0020,Male,43,Delhi,117432,11,10,120,15,Bronze
C0021,Female,34,Mumbai,98411,64,9,205,63,Silver
C0022,Male,57,Hyderabad,21622,77,9,151,21,Silver
C0023,Female,50,Kolkata,68756,81,9,130,57,Bronze
C0024,Female,26,Chennai,60809,72,2,400,53,Silver
C0025,Female,56,Delhi,36725,21,3,151,46,Bronze
C0026,Female,46,Delhi,81396,18,7,39,14,Gold
C0027,Female,59,Bengaluru,71226,94,5,413,76,Platinum
C0028,Female,43,Bengaluru,101182,64,2,43,17,Bronze
C0029,Female,52,Hyderabad,102565,82,3,246,39,Platinum
C0030,Female,42,Kolkata,49402,95,10,173,9,Silver
C0031,Male,41,Hyderabad,24263,38,6,312,77,Bronze
C0032,Male,30,Mumbai,116523,32,7,249,79,Bronze
